City,restaurant_count
New Delhi,5473
Gurgaon,1118
Noida,1080
Faridabad,251
Ghaziabad,25
Ahmedabad,21
Amritsar,21
Bhubaneshwar,21
Guwahati,21
Lucknow,21
Bras�_lia,20
Rio de Janeiro,20
S��o Paulo,20
Albany,20
Athens,20
Augusta,20
Boise,20
Cedar Rapids/Iowa City,20
Columbus,20
Dalton,20
