Country,restaurant_count,avg_rating
India,6513,3.35
United States,431,4.03
United Kingdom,79,4.14
South Africa,60,4.21
UAE,60,4.23
Brazil,55,4.11
New Zealand,40,4.26
Turkey,34,4.3
Australia,24,3.66
Philippines,22,4.47
Indonesia,21,4.3
Qatar,20,4.06
Singapore,20,3.58
Sri Lanka,20,3.87
Canada,4,3.58
